fips,county,state,pct_frequent_distress,mh_providers_per_100k
21121,Knox,Kentucky,20.8,93.97865
01115,St. Clair,Alabama,19.0,29.303419999999996
06075,San Francisco,California,13.8,1112.50105
36065,Oneida,New York,17.7,224.5611
36053,Madison,New York,18.4,248.05368
25025,Suffolk,Massachusetts,17.9,1109.28197
